geo_name,geo_id,pop_2016,adult_obesity_2017,poverty_rate_2016,high_school_graduation_2017,unemployment_2017,violent_crime_2017,age,median_property_value_2016
"St. James Parish, LA",05000US22093,53385,0.37,0.163624450060844,0.79,0.083,567.48,34.4,108900
"St. John the Baptist Parish, LA",05000US22095,53053,0.358,0.181727697791769,0.78,0.073,139.53,34.4,95500
"St. Landry Parish, LA",05000US22097,246269,0.396,0.2794994836907,0.69,0.079,733.33,34.4,202000
"St. Martin Parish, LA",05000US22099,127115,0.342,0.172581807151253,0.83,0.067,277.4,34.4,143300
"St. Mary Parish, LA",05000US22101,4793,0.38,0.216016008312008,0.84,0.075,554.02,34.4,57200
"St. Tammany Parish, LA",05000US22103,113099,0.278,0.111232905956589,0.83,0.053,167.83,34.4,139200
"Tangipahoa Parish, LA",05000US22105,22460,0.391,0.222623979504974,0.74,0.072,883.56,34.4,89500
"Tensas Parish, LA",05000US22107,59524,0.348,0.338290741516548,,0.097,,34.4,103800
"Terrebonne Parish, LA",05000US22109,52101,0.395,0.20203319688723,0.76,0.059,376.26,34.4,107900
"Union Parish, LA",05000US22111,46367,0.344,0.249312305153127,0.775,0.07,278.72,34.4,82100
"Vermilion Parish, LA",05000US22113,40335,0.312,0.173317623755614,0.94,0.068,416.48,34.5,80800
"Vernon Parish, LA",05000US22115,25017,0.366,0.144971944765013,0.9,0.077,255.79,34.5,168600
"Washington Parish, LA",05000US22117,11370,0.374,0.264346105414643,0.817,0.076,539.68,34.5,73100
"Webster Parish, LA",05000US22119,15384,0.358,0.246597298191162,0.83,0.087,380.88,34.5,197700
"West Baton Rouge Parish, LA",05000US22121,14695,0.402,0.202979056083611,0.79,0.056,333.42,34.5,71700
"West Carroll Parish, LA",05000US22123,107376,0.36,0.240161928073809,0.925,0.133,450.6,34.5,152100
"West Feliciana Parish, LA",05000US22125,69405,0.345,0.155796807907316,0.875,0.052,192.17,34.5,95800
"Winn Parish, LA",05000US22127,288204,0.377,0.25611544100625,0.775,0.083,493.29,34.5,251300
"Androscoggin County, ME",05000US23001,30270,0.332,0.147752944003845,0.823,0.041,143.5,34.5,132400
"Aroostook County, ME",05000US23003,54483,0.341,0.177024901314813,0.893,0.06,85.47,34.5,199800
"Cumberland County, ME",05000US23005,120953,0.227,0.11120182246639,0.907,0.034,131.05,34.5,151100
"Franklin County, ME",05000US23007,39717,0.302,0.140975693845889,0.887,0.048,116.54,34.5,198100
"Hancock County, ME",05000US23009,34165,0.243,0.12094039635295,0.814,0.057,66.38,34.5,209700
"Kennebec County, ME",05000US23011,57299,0.309,0.14594119704194,0.87,0.042,168.06,34.5,132900
"Knox County, ME",05000US23013,152978,0.231,0.118830646208168,0.828,0.041,57.19,34.5,137000
"Lincoln County, ME",05000US23015,17044,0.246,0.120539301764933,,0.044,136.74,34.5,106800
"Oxford County, ME",05000US23017,35134,0.314,0.167064565759457,0.84,0.055,112.6,34.5,194600
"Penobscot County, ME",05000US23019,51363,0.303,0.162684954735662,0.882,0.048,86.14,34.5,107100
"Piscataquis County, ME",05000US23021,39071,0.333,0.206318812829105,0.881,0.058,180.01,34.5,158400
"Sagadahoc County, ME",05000US23023,31925,0.251,0.106676613204028,0.866,0.035,48.4,34.5,107400
"Somerset County, ME",05000US23025,200536,0.35,0.180447259054027,0.859,0.066,120.94,34.5,229600
"Waldo County, ME",05000US23027,73060,0.283,0.159954875777212,0.862,0.051,65.19,34.5,118800
"Washington County, ME",05000US23029,559737,0.285,0.179950166650487,,0.066,143.22,34.5,338500
"York County, ME",05000US23031,825666,0.276,0.093752852752336,0.871,0.039,156.03,34.5,246900
"Allegany County, MD",05000US24001,90527,0.323,0.174049428210321,0.92,0.071,322.63,34.5,344300
"Anne Arundel County, MD",05000US24003,32653,0.291,0.061060045691942,0.88,0.045,459.78,34.5,192600
"Baltimore County, MD",05000US24005,167535,0.288,0.09300234257196,0.88,0.054,504.08,34.5,324300
"Calvert County, MD",05000US24009,102175,0.297,0.060298140807325,0.94,0.046,130.16,34.5,239900
"Caroline County, MD",05000US24011,154357,0.35,0.170803874544492,0.89,0.056,317.35,34.5,287600
"Carroll County, MD",05000US24013,32451,0.279,0.057191096157597,0.96,0.043,201.63,34.6,188100
"Cecil County, MD",05000US24015,243465,0.337,0.106432156816063,0.88,0.06,483.65,34.6,306100
"Charles County, MD",05000US24017,29677,0.36,0.076527995159869,0.92,0.051,373.74,34.6,169400
"Dorchester County, MD",05000US24019,249776,0.357,0.169949968730457,0.86,0.074,466.16,34.6,278100
"Frederick County, MD",05000US24021,308447,0.291,0.071206211008367,0.93,0.045,254.34,34.6,434700
"Garrett County, MD",05000US24023,19819,0.306,0.126531598384703,0.93,0.065,297.52,34.6,238800
"Harford County, MD",05000US24025,1026371,0.279,0.076824852912653,0.9,0.05,262.86,34.6,460100
"Howard County, MD",05000US24027,897693,0.217,0.049293982538792,0.93,0.039,200.43,34.6,261400
"Kent County, MD",05000US24029,48712,0.281,0.119940931962371,0.925,0.054,313.81,34.6,343900
"Montgomery County, MD",05000US24031,110675,0.201,0.068626276512176,0.89,0.04,177.24,34.6,295900
"Prince George's County, MD",05000US24033,25899,0.334,0.096567756050868,0.79,0.053,509.39,34.6,131800
"Queen Anne's County, MD",05000US24035,37668,0.289,0.065137995434738,0.95,0.046,218.39,34.6,320500
"St. Mary's County, MD",05000US24037,149571,0.32,0.078425542195544,0.94,0.05,231.45,34.6,198900
"Somerset County, MD",05000US24039,101527,0.422,0.250649215747377,0.875,0.083,276.9,34.6,173100
"Talbot County, MD",05000US24041,51441,0.293,0.109118247234454,0.93,0.051,229.36,34.6,243600
"Washington County, MD",05000US24043,621000,0.338,0.129106996908425,0.91,0.058,279.61,34.6,153000
"Wicomico County, MD",05000US24045,214703,0.359,0.163060507695301,0.84,0.068,497.74,34.6,367200
"Worcester County, MD",05000US24047,128563,0.294,0.101752380201455,0.93,0.106,383.32,34.6,204200
"Baltimore city, MD",05000US24510,554868,0.337,0.230804362336952,0.701,0.077,1388.61,34.6,273700
"Barnstable County, MA",05000US25001,17137,0.199,0.082279646017699,0.893,0.063,428.25,34.6,656000
"Berkshire County, MA",05000US25003,769362,0.237,0.123724823437091,0.878,0.056,317.18,34.6,362200
"Bristol County, MA",05000US25005,70916,0.283,0.124949667947621,0.868,0.063,518.3,34.6,224200
"Dukes County, MA",05000US25007,468072,0.22,0.090903738592876,0.915,0.069,209.59,34.6,196500
"Essex County, MA",05000US25009,161035,0.255,0.112569711088297,0.874,0.052,382.17,34.6,270100
"Franklin County, MA",05000US25011,1567610,0.21,0.112990867252577,0.845,0.045,371.64,34.6,432300
"Hampden County, MA",05000US25013,10694,0.275,0.176486785353969,0.792,0.068,604.91,34.6,966600
"Hampshire County, MA",05000US25015,691218,0.189,0.146979025734895,0.909,0.044,248.9,34.6,414000
"Middlesex County, MA",05000US25017,506657,0.226,0.082469070459808,0.909,0.04,206.55,34.6,333600
"Nantucket County, MA",05000US25019,767719,0.2,0.102605400284226,0.875,0.055,321.5,34.6,398000
"Norfolk County, MA",05000US25021,813589,0.205,0.067372885131102,0.93,0.043,193.1,34.6,254100
"Plymouth County, MA",05000US25023,10461,0.278,0.079954291067376,0.902,0.052,404.35,34.6,97500
"Suffolk County, MA",05000US25025,9396,0.213,0.201430735380295,0.704,0.046,815.16,34.6,118500
"Worcester County, MA",05000US25027,113666,0.27,0.114224699534127,0.884,0.053,435.18,34.6,144600
"Alcona County, MI",05000US26001,28929,0.311,0.149300155520995,0.925,0.077,125.47,34.6,92700
"Alger County, MI",05000US26003,23215,0.298,0.130538351595998,,0.082,185.39,34.6,145100
"Allegan County, MI",05000US26005,15327,0.302,0.116503385743395,0.867,0.04,219.29,34.6,88400
"Alpena County, MI",05000US26007,8612,0.321,0.162832545339073,0.78,0.059,254.66,34.6,90900
